符合條件商品
資料日期：2022年  6月 10日
策略,	009投信5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(06/10),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 16:35 符合檔數(12)
1	,2317.TW,鴻海,101,0,15490,114,-6.84,20,投連買
2	,3702.TW,大聯大,47.8,-0.52,2583,57.1,-10.35,12,投連買
3	,5876.TW,上海商銀,44.25,-0.45,2405,52.1,-11.96,12,投連買
4	,6146.TW,耕興,231,2.21,247,204.5,18.75,11,投連買
5	,2454.TW,聯發科,660,-0.15,2431,930,-21.97,10,投連買
6	,3707.TW,漢磊,86.9,0,3034,132.5,-34.16,9,投連買
7	,5274.TW,信驊,1830,0.83,312,2465,-17.11,9,投連買
8	,5269.TW,祥碩,717,0.14,564,1385,-46.79,7,投連買
9	,2313.TW,華通,45.95,-1.08,9582,47.9,-4.07,6,投連買
10	,1795.TW,美時,232,0.22,11755,152,54.87,5,投連買
11	,2383.TW,台光電,176.5,-0.84,2034,239,-21.62,5,投連買
12	,3708.TW,上緯投控,94.6,-1.77,1112,134,-28.53,5,投連買
