符合條件商品
資料日期：2022年  1月  3日
策略,	08投信5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(01/03),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 16:51 符合檔數(13)
1	,1702.TW,南僑,44.8,-0.88,73,49.7,-5.51,20,投連賣
2	,2317.TW,鴻海,101,0,15490,103,3.11,12,投連賣
3	,3264.TW,欣銓,49.85,-0.89,1243,54.7,-3.43,10,投連賣
4	,2105.TW,正新,33.75,-0.74,1203,35.85,-2.57,8,投連賣
5	,2303.TW,聯電,41.95,-2.1,34060,63.4,-29.54,8,投連賣
6	,3045.TW,台灣大,94.8,0,2514,100.5,-1.76,7,投連賣
7	,9938.TW,百和,59,4.8,4688,80.6,-22.19,7,投連賣
8	,2912.TW,統一超,268,-1.47,996,273.5,1.19,6,投連賣
9	,1216.TW,統一,65.9,0,2803,68.4,0.3,5,投連賣
10	,2886.TW,兆豐金,30.55,-0.97,8425,35.35,-7.95,5,投連賣
11	,3035.TW,智原,159,0.63,7973,226,-28.02,5,投連賣
12	,3711.TW,日月光投控,93.8,-3.6,11870,105.5,-3.69,5,投連賣
13	,6683.TW,雍智科技,189.5,0.26,103,317,-37.81,5,投連賣
