符合條件商品
資料日期：2023年  4月 19日
策略,	A03大於3倍日均量
序號,	代碼,	商品,	成交,	漲幅%,	總量
執行時間：2023-04-19 22:20 符合檔數(118)
1	,1268.TW,漢來美食,150,2.39,870
2	,1340.TW,勝悅-KY,11.25,0,568
3	,1471.TW,首利,9.95,5.96,13521
4	,1533.TW,車王電,57.4,-2.05,4324
5	,1608.TW,華榮,17.05,3.96,5807
6	,1720.TW,生達,69,0.58,8728
7	,1721.TW,三晃,14.7,3.16,2742
8	,1725.TW,元禎,21.8,1.4,121
9	,1727.TW,中華化,27.8,4.51,4668
10	,1783.TW,和康生,62.1,6.7,5714
11	,1802.TW,台玻,21.15,3.42,12971
12	,1810.TW,和成,27.8,0.36,53663
13	,2009.TW,第一銅,36.3,7.24,17999
14	,2059.TW,川湖,422,4.71,2498
15	,2063.TW,世鎧,43.35,-0.12,448
16	,2115.TW,六暉-KY,32,1.11,248
17	,2314.TW,台揚,51.8,1.37,14297
18	,2328.TW,廣宇,39.15,0.38,12052
19	,2397.TW,友通,71.5,3.17,464
20	,2405.TW,輔信,13.25,1.92,4987
21	,2406.TW,國碩,20.55,3.53,12612
22	,2444.TW,兆勁,17.75,2.01,2910
23	,2491.TW,吉祥全,12.55,5.02,371
24	,2495.TW,普安,27.5,3,29052
25	,2704.TW,國賓,37.55,1.08,757
26	,2722.TW,夏都,54.8,3.4,5865
27	,2724.TW,富驛-KY,13.9,-0.71,7
28	,2729.TW,瓦城,256.5,4.91,993
29	,2740.TW,天蔥,46.3,0.22,6
30	,2752.TW,豆府,254,1.2,63
31	,2754.TW,亞洲藏壽司,185,9.79,3557
32	,2924.TW,宏太-KY,32.55,-3.41,9
33	,3003.TW,健和興,79.2,3.53,6131
34	,3004.TW,豐達科,121.5,5.19,9901
35	,3057.TW,喬鼎,12.3,-4.28,1559
36	,3058.TW,立德,22.25,9.88,16827
37	,3089.TW,億杰,60,-0.5,87
38	,3092.TW,鴻碩,40.6,9.88,5557
39	,3094.TW,聯傑,35.6,2.74,10421
40	,3205.TW,佰研,44.5,5.7,1824
41	,3206.TW,志豐,34.85,-3.73,1772
42	,3221.TW,台嘉碩,30.15,-1.79,4660
43	,3287.TW,廣寰科,14.8,2.42,2050
44	,3325.TW,旭品,18.95,4.41,4055
45	,3332.TW,幸康,50.7,6.4,173
46	,3363.TW,上詮,34.7,-4.14,23744
47	,3466.TW,致振,37.05,4.51,6066
48	,3522.TW,御頂,15.2,9.75,812
49	,3576.TW,聯合再生,22.35,4.68,55661
50	,3588.TW,通嘉,65.4,0.15,2940
51	,3663.TW,鑫科,37.05,5.26,1900
52	,3673.TW,TPK-KY,41.25,-0.6,34713
53	,3686.TW,達能,17.5,9.72,3174
54	,3691.TW,碩禾,121,7.08,3261
55	,3704.TW,合勤控,45.4,3.42,52985
56	,3713.TW,新晶投控,30.4,5.92,377
57	,4121.TW,優盛,25.4,1.4,1892
58	,4123.TW,晟德,50.4,4.89,8421
59	,4127.TW,天良,16.1,-8,2651
60	,4160.TW,創源,33.35,9.88,532
61	,4175.TW,杏一,109,6.34,1427
62	,4183.TW,福永生技,20,0.76,78
63	,4401.TW,東隆興,26.4,-0.94,92
64	,4510.TW,高鋒,14.45,2.48,8453
65	,4540.TW,全球傳動,43.5,-1.25,677
66	,4552.TW,力達-KY,33.4,-1.76,1003
67	,4561.TW,健椿,24.5,7.46,605
68	,4566.TW,時碩工業,64.4,0.78,8601
69	,4568.TW,科際精密,65.5,1.39,72
70	,4584.TW,君帆,52.8,5.81,102
71	,4714.TW,永捷,12,-2.83,2525
72	,4716.TW,大立,12.55,-3.46,1998
73	,4741.TW,泓瀚,27.3,0.18,110
74	,4764.TW,雙鍵,52.6,-0.57,79
75	,4908.TW,前鼎,36.3,-0.82,1856
76	,4979.TW,華星光,60,1.35,49774
77	,4987.TW,科誠,61.9,1.81,86
78	,5210.TW,寶碩,18.8,9.94,1283
79	,5227.TW,立凱-KY,70.5,5.38,1978
80	,5243.TW,乙盛-KY,69.8,2.35,12725
81	,5251.TW,天鉞電,22.7,-7.54,1174
82	,5403.TW,中菲,103.5,7.48,3590
83	,5604.TW,中連,50.2,0.8,87
84	,5704.TW,老爺知,62.8,9.98,1191
85	,5906.TW,台南-KY,35.8,0.56,123
86	,6115.TW,鎰勝,46,0,1251
87	,6160.TW,欣技,33.4,5.2,21722
88	,6165.TW,浪凡,31.45,4.66,532
89	,6167.TW,久正,17.2,0.58,13665
90	,6174.TW,安碁,30.85,2.83,560
91	,6177.TW,達麗,31.35,-1.88,2904
92	,6282.TW,康舒,43.6,9.96,67642
93	,6411.TW,晶焱,121.5,0.83,6046
94	,6443.TW,元晶,39.75,2.98,76129
95	,6470.TW,宇智,74.1,7.86,13872
96	,6477.TW,安集,57,4.01,32016
97	,6491.TW,晶碩,441,3.64,1679
98	,6523.TW,達爾膚,144.5,2.48,5061
99	,6590.TW,普鴻,104,6.12,1421
100	,6612.TW,奈米醫材,178.5,9.85,3301
101	,6625.TW,必應,65.3,2.19,3741
102	,6666.TW,羅麗芬-KY,92.3,4.29,1275
103	,6690.TW,安碁資訊,220,10,1306
104	,6741.TW,91APP*-KY,124.5,3.32,5935
105	,6743.TW,安普新,62.4,1.3,1486
106	,6796.TW,晉弘,111.5,4.21,1359
107	,6806.TW,森崴能源,118.5,-2.07,39445
108	,8059.TW,凱碩,14.55,3.56,2433
109	,8068.TW,全達,30.6,5.52,2411
110	,8085.TW,福華,23.85,-1.04,1708
111	,8091.TW,翔名,110,5.77,5915
112	,8111.TW,立碁,25.4,9.96,7356
113	,8210.TW,勤誠,87,-4.81,10362
114	,8403.TW,盛弘,35.5,2.9,2069
115	,8436.TW,大江,229,6.02,8483
116	,8477.TW,創業家,18.65,-0.53,474
117	,8927.TW,北基,45.9,3.15,3295
118	,9946.TW,三發地產,14,2.94,1768
